Grado Nodal,Numero de Nodos,Proporcion de Nodos
4,4,0.0016
5,160,0.064
6,1341,0.5364
7,322,0.1288
8,159,0.0636
9,96,0.0384
10,81,0.0324
11,64,0.0256
12,43,0.0172
13,53,0.0212
14,22,0.0088
15,23,0.0092
16,18,0.0072
17,15,0.006
18,13,0.0052
19,7,0.0028
20,13,0.0052
21,4,0.0016
22,5,0.002
23,1,0.0004
24,7,0.0028
25,7,0.0028
26,5,0.002
27,6,0.0024
28,2,0.0008
29,3,0.0012
30,1,0.0004
31,3,0.0012
33,1,0.0004
34,3,0.0012
35,3,0.0012
36,1,0.0004
37,2,0.0008
38,2,0.0008
39,1,0.0004
41,1,0.0004
45,1,0.0004
46,3,0.0012
48,1,0.0004
49,1,0.0004
51,2,0.0008
